,CosZ,cfsirs,codsirs,year,month,day,hour,min,cfXL,codXL,cbase,ctop,cfopaquetsky,cfthintsky,cldthick,cftottsky,times
130,0.6759430000000001,1.0,11.02,2014,2,24,13,7,0.9964951115999999,14.397413517999999,440.83333333,719.6969401,-9999.99,-9999.99,278.86360677,-9999.99,1393258020.0
131,0.685379,1.0,9.18,2014,2,24,13,10,0.9674031148000001,12.116390097,426.66666667,692.21596273,-9999.99,-9999.99,265.54929606,-9999.99,1393258200.0
132,0.688499,1.0,8.43,2014,2,24,13,11,0.9584233261,10.943221708,427.5,657.24017334,-9999.99,-9999.99,229.74017334,-9999.99,1393258260.0
133,0.691606,1.0,8.02,2014,2,24,13,12,0.9660107334999999,10.254853857999999,440.0,612.27130127,-9999.99,-9999.99,172.27130127,-9999.99,1393258320.0
134,0.6947,0.96,7.81,2014,2,24,13,13,0.9854170372,9.6228579998,455.0,552.31280772,-9999.99,-9999.99,97.31280771899999,-9999.99,1393258380.0
135,0.6977800000000001,0.94,6.85,2014,2,24,13,14,0.9860350009000001,9.9325865576,443.33333333,723.02797445,-9999.99,-9999.99,279.69464111,-9999.99,1393258440.0
136,0.703902,1.0,9.26,2014,2,24,13,16,0.9933601258,11.65369391,564.16666667,669.73152669,-9999.99,-9999.99,105.56486003,-9999.99,1393258560.0
137,0.742386,1.0,6.79,2014,2,24,13,29,0.9762369792,8.2909676507,448.57142857,534.11112322,-9999.99,-9999.99,85.53969465,-9999.99,1393259340.0
138,0.74525,0.97,8.21,2014,2,24,13,30,0.9815414508,10.254684464,407.5,522.33356857,-9999.99,-9999.99,114.83356857,-9999.99,1393259400.0
139,0.7509359999999999,1.0,13.64,2014,2,24,13,32,0.9967943581,18.477815529,387.5,844.61047363,-9999.99,-9999.99,457.11047363,-9999.99,1393259520.0
140,0.753758,1.0,16.81,2014,2,24,13,33,0.9977671451000001,22.925726416999996,404.16666667,722.19521077,-9999.99,-9999.99,318.02854411,-9999.99,1393259580.0
141,0.778511,1.0,17.65,2014,2,24,13,42,-9999.99,0.0,480.83333333,837.11566162,-9999.99,-9999.99,356.28232829,-9999.99,1393260120.0
142,0.7865,1.0,14.01,2014,2,24,13,45,-9999.99,0.0,694.16666667,937.0464681,-9999.99,-9999.99,242.87980143,-9999.99,1393260300.0
143,0.789133,1.0,13.48,2014,2,24,13,46,0.9993997599,18.598814604,600.83333333,969.52397156,-9999.99,-9999.99,368.69063822,-9999.99,1393260360.0
144,0.791752,1.0,12.24,2014,2,24,13,47,0.9998505902,17.019713804000002,630.83333333,847.1087443,-9999.99,-9999.99,216.27541097,-9999.99,1393260420.0
145,0.799519,1.0,7.68,2014,2,24,13,50,0.9809734512999999,10.094581872000001,736.66666667,759.66927083,-9999.99,-9999.99,23.002604166999998,-9999.99,1393260600.0
146,0.802077,1.0,7.1,2014,2,24,13,51,0.9550594801000001,8.7755509561,536.66666667,3003.1160889000002,-9999.99,-9999.99,2466.4494222,-9999.99,1393260660.0
147,0.812161,1.0,11.08,2014,2,24,13,55,0.9946547241,14.997140805999999,792.0,4277.233984400001,-9999.99,-9999.99,3485.2339844000003,-9999.99,1393260900.0
148,0.404105,0.84,-9999.99,2014,2,24,20,42,-9999.99,-9999.99,918.18181818,1053.1025113,-9999.99,-9999.99,134.92069314,-9999.99,1393285320.0
149,0.40016199999999996,0.95,0.0,2014,2,24,20,43,-9999.99,0.0,853.33333333,1061.960022,-9999.99,-9999.99,208.62668864,-9999.99,1393285380.0
150,-0.7907109999999999,-9999.99,-9999.99,2014,2,26,6,40,-9999.99,0.0,367.27272727,409.91143799,-9999.99,-9999.99,42.638710715,-9999.99,1393407600.0
151,-0.7881779999999999,-9999.99,-9999.99,2014,2,26,6,41,-9999.99,0.0,354.16666667,409.91143799,-9999.99,-9999.99,55.744771321,-9999.99,1393407660.0
152,-0.78563,-9999.99,-9999.99,2014,2,26,6,42,-9999.99,0.0,334.16666667,377.43391927,-9999.99,-9999.99,43.267252604,-9999.99,1393407720.0
153,-0.783066,-9999.99,-9999.99,2014,2,26,6,43,-9999.99,0.0,340.0,372.43737793,-9999.99,-9999.99,32.437377929,-9999.99,1393407780.0
154,-0.696372,-9999.99,-9999.99,2014,2,26,7,14,-9999.99,0.0,832.02130127,3455.3030802000003,-9999.99,-9999.99,2623.281779,-9999.99,1393409640.0
155,-0.671838,-9999.99,-9999.99,2014,2,26,7,22,-9999.99,0.0,1350.0164795,4024.9088745,-9999.99,-9999.99,2674.892395,-9999.99,1393410120.0
156,-0.668713,-9999.99,-9999.99,2014,2,26,7,23,-9999.99,0.0,1360.0095622000001,4324.701456700001,-9999.99,-9999.99,2964.6918945,-9999.99,1393410180.0
