SAT,WL(um),PW(cm),PHASE,COD,VZA(deg),SZA(deg),Reff(um),Topdown(W/m2),L30(W/m2/sr),L150(W/m2/sr),R30,R150
GOES13,3.9,6,water,50,10,5,29.5,3232.259,32.74463272,44.94173813,0.031826130764165,0.043681101777043
GOES13,3.9,6,water,50,10,5,30.0,3232.259,31.87484169,43.57533264,0.030980737771213,0.042353024587311
GOES13,3.9,6,water,50,10,5,31.0,3232.259,30.23292351,41.00961304,0.029384876148712,0.039859274598052
GOES13,3.9,6,water,50,10,5,32.0,3232.259,28.71049118,38.650177,0.027905148743353,0.037566021820388
GOES13,3.9,6,water,50,10,5,33.0,3232.259,27.2964592,36.47871017,0.026530781008494,0.035455465630231
GOES13,3.9,6,water,50,10,5,34.0,3232.259,25.98098564,34.47802353,0.025252207084781,0.033510899167469
GOES13,3.9,6,water,50,10,5,35.0,3232.259,24.75561333,32.63222504,0.024061207029708,0.031716876171109
GOES13,3.9,6,water,50,10,5,36.0,3232.259,23.61216927,30.92635345,0.022949837099673,0.030058855061071
GOES13,3.9,6,water,50,10,5,37.0,3232.259,22.54394341,29.34746933,0.021911575464652,0.028524259364296
GOES13,3.9,6,water,50,10,5,38.0,3232.259,21.54486847,27.8836956,0.020940525034631,0.027101545158323
GOES13,3.9,6,water,50,10,5,39.0,3232.259,20.60934639,26.5242424,0.020031244777758,0.025780225243669
GOES13,3.9,6,water,50,10,5,40.0,3232.259,19.73215485,25.25942993,0.019178658862503,0.024550891343161
GOES13,3.9,6,water,50,10,5,41.0,3232.259,18.90883064,24.08117867,0.018378429273953,0.023405690571039
GOES13,3.9,6,water,50,10,5,42.0,3232.259,18.13523102,22.98127365,0.017626529477862,0.022336638390976
GOES13,3.9,6,water,50,10,5,43.0,3232.259,17.40779877,21.9534874,0.016919502035883,0.02133768201636
GOES13,3.9,6,water,50,10,5,44.0,3232.259,16.72330666,20.99162674,0.016254210243296,0.020402801988728
GOES13,3.9,6,water,50,10,5,45.0,3232.259,16.07814026,20.0899868,0.015627141056519,0.019526453462299
GOES13,3.9,6,water,50,10,5,46.0,3232.259,15.46984386,19.24398232,0.015035907649343,0.018704179795717
GOES13,3.9,6,water,50,10,5,47.0,3232.259,14.89591789,18.44942093,0.014478080565852,0.017931906216882
GOES13,3.9,6,water,50,10,5,48.0,3232.259,14.35366154,17.70179176,0.013951034755005,0.017205248387766
GOES13,3.9,6,water,50,10,5,49.0,3232.259,13.8412075,16.99808121,0.013452955285703,0.016521277241229
GOES13,3.9,6,water,50,10,5,50.0,3232.259,13.35659599,16.33480835,0.012981937350674,0.015876609488954
GOES13,3.9,6,water,50,10,5,51.0,3232.259,12.89783478,15.70924282,0.012536044602881,0.01526859135879
GOES13,3.9,6,water,50,10,5,52.0,3232.259,12.46331882,15.1187706,0.012113717014713,0.014694682155195
GOES13,3.9,6,water,50,10,5,53.0,3232.259,12.0513916,14.56057549,0.011713344542035,0.014152144673872
GOES13,3.9,6,water,50,10,5,54.0,3232.259,11.66076279,14.03318787,0.011333673049195,0.013639550518333
GOES13,3.9,6,water,50,10,5,55.0,3232.259,11.29013252,13.5338974,0.010973439128141,0.01315426537486
GOES13,3.9,6,water,50,10,5,56.0,3232.259,10.93801498,13.06111336,0.010631198646527,0.012694743143875
GOES13,3.9,6,water,50,10,5,57.0,3232.259,10.60355377,12.61314201,0.010306119226763,0.012259337595564
GOES13,3.9,6,water,50,10,5,58.0,3232.259,10.28563213,12.18852997,0.009997115434479,0.011846636117901
GOES13,3.9,6,water,50,10,5,59.0,3232.259,9.983151436,11.78544998,0.009703119462584,0.011454862706367
GOES13,3.9,6,water,50,10,10,2.0,3195.312,329.5355835,329.1193848,0.323995455911669,0.323586254313091
GOES13,3.9,6,water,50,10,10,2.5,3195.312,311.1791077,310.449707,0.305947587810188,0.305230449740214
GOES13,3.9,6,water,50,10,10,3.0,3195.312,294.7857361,291.9481506,0.28982982034769,0.287039940122932
GOES13,3.9,6,water,50,10,10,3.5,3195.312,281.0604553,274.7138062,0.276335287942174,0.270095338232263
GOES13,3.9,6,water,50,10,10,4.0,3195.312,269.3629761,259.0805969,0.264834465887789,0.254724953278021
GOES13,3.9,6,water,50,10,10,4.5,3195.312,258.6917114,245.1585388,0.254342605691967,0.241036951777757
GOES13,3.9,6,water,50,10,10,5.0,3195.312,248.1764832,232.9592743,0.244004158722175,0.229042780400314
GOES13,3.9,6,water,50,10,10,5.5,3195.312,237.3026581,222.4053955,0.233313143556651,0.218666332621519
GOES13,3.9,6,water,50,10,10,6.0,3195.312,225.9365082,213.3167419,0.222138080518851,0.209730476786226
