CloudFraction,Count,Time
0.9981818181818182,176.0,2014-11-06 17:01:21.356131000
0.999650655021834,229.0,2014-11-07 16:06:15.399499000
0.22877030162412992,431.0,2014-11-08 04:26:00.341352000
0.1423684210526316,304.0,2014-11-08 16:49:03.462193000
0.9828571428571429,147.0,2014-11-09 05:08:48.597048000
1.0,132.0,2014-11-09 15:53:57.751453000
1.0,272.0,2014-11-10 04:13:42.023760000
0.8667833698030634,457.0,2014-11-10 16:36:45.340351000
1.0,262.0,2014-11-11 04:56:30.788979000
1.0,155.0,2014-11-12 04:01:23.280166000
0.6861946902654867,452.0,2014-11-12 16:24:26.922400000
1.0,419.0,2014-11-13 04:44:12.240763000
1.0,135.0,2014-11-13 17:07:15.338796000
0.9942281879194631,298.0,2014-11-14 16:12:12.182607000
1.0,483.0,2014-11-15 04:31:59.200310000
1.0,190.0,2014-11-15 16:55:02.521996000
1.0,45.0,2014-11-15 16:55:10.825950000
1.0,112.0,2014-11-16 05:14:50.624969000
1.0,161.0,2014-11-16 16:00:01.032591000
1.0,13.0,2014-11-16 16:00:09.667486000
1.0,348.0,2014-11-17 04:19:47.871458000
0.837237851662404,391.0,2014-11-17 16:42:52.838722000
1.0,196.0,2014-11-18 05:02:39.868408000
0.9221052631578948,38.0,2014-11-18 15:47:51.396652000
1.0,204.0,2014-11-19 04:07:36.111562000
0.5214723926380368,489.0,2014-11-19 16:30:41.225656000
1.0,334.0,2014-11-20 04:50:28.359685000
1.0,26.0,2014-11-20 17:13:33.291468000
1.0,117.0,2014-11-21 03:55:23.930190000
0.8086772486772488,378.0,2014-11-21 16:18:29.372938000
1.0,476.0,2014-11-22 04:38:16.215118000
1.0,176.0,2014-11-22 17:01:20.928669000
0.7520704845814978,227.0,2014-11-23 16:06:17.287912000
0.899906976744186,430.0,2014-11-24 04:26:03.478052000
0.6777631578947368,304.0,2014-11-24 16:49:07.909776000
1.0,144.0,2014-11-25 05:08:54.390113000
0.9750375939849625,133.0,2014-11-25 15:54:04.801863000
0.9745588235294117,272.0,2014-11-26 04:13:50.297444000
1.0,458.0,2014-11-26 16:36:54.891731000
1.0,256.0,2014-11-27 04:56:41.587620000
1.0,154.0,2014-11-28 04:01:36.721864000
0.8416703296703296,455.0,2014-11-28 16:24:41.579529000
0.39096153846153847,416.0,2014-11-29 04:44:28.129260999
0.11606060606060606,132.0,2014-11-29 17:07:32.609326000
0.00850498338870432,301.0,2014-11-30 16:12:27.943891000
0.0,479.0,2014-12-01 04:32:14.073994000
0.5264069264069264,231.0,2014-12-01 16:55:18.228462000
1.0,83.0,2014-12-02 05:15:02.006320000
1.0,35.0,2014-12-02 16:00:07.418446000
0.9959712230215827,139.0,2014-12-02 16:00:15.816750000
1.0,351.0,2014-12-03 04:19:59.486891000
0.17271317829457364,387.0,2014-12-03 16:43:03.590328000
1.0,197.0,2014-12-04 05:02:49.653196000
0.8314285714285714,42.0,2014-12-04 15:47:59.537188000
1.0,206.0,2014-12-05 04:07:44.277576000
0.3767078189300412,486.0,2014-12-05 16:30:48.685843000
1.0,333.0,2014-12-06 04:50:34.941470000
0.9683333333333333,24.0,2014-12-06 17:13:40.127692000
1.0,119.0,2014-12-07 03:55:28.811319000
0.9880939947780679,383.0,2014-12-07 16:18:33.533251000
1.0,475.0,2014-12-08 04:38:19.522325000
0.8110112359550561,178.0,2014-12-08 17:01:23.428007000
0.42375545851528384,229.0,2014-12-09 16:06:18.331026000
0.009466357308584687,431.0,2014-12-10 04:26:03.670416000
0.9698039215686275,306.0,2014-12-10 16:49:07.339658000
1.0,147.0,2014-12-11 05:08:53.083596000
1.0,134.0,2014-12-11 15:54:02.709011000
1.0,271.0,2014-12-12 04:13:47.366350000
0.88,457.0,2014-12-12 16:36:51.291366000
1.0,260.0,2014-12-13 04:56:38.234470000
0.9894871794871795,156.0,2014-12-14 04:01:33.817388000
0.743912087912088,455.0,2014-12-14 16:24:39.088078000
1.0,415.0,2014-12-15 04:44:26.020570000
0.9778787878787878,132.0,2014-12-15 17:07:30.675152000
0.9389966555183946,299.0,2014-12-16 16:12:26.785205000
0.7935269709543569,482.0,2014-12-17 04:32:13.244083000
1.0,1.0,2014-12-17 16:55:08.135714000
0.5696969696969697,231.0,2014-12-17 16:55:17.727550000
1.0,92.0,2014-12-18 05:15:02.118605000
0.9748148148148148,27.0,2014-12-18 16:00:06.951706000
0.9056551724137931,145.0,2014-12-18 16:00:15.327460000
1.0,348.0,2014-12-19 04:19:59.868292000
1.0,3.0,2014-12-19 04:20:09.121650000
0.8462886597938144,388.0,2014-12-19 16:43:04.319136000
1.0,193.0,2014-12-20 05:02:50.888573000
0.9834146341463414,41.0,2014-12-20 15:48:01.212750000
0.9484057971014492,207.0,2014-12-21 04:07:46.089064000
0.8215573770491804,488.0,2014-12-21 16:30:50.618173000
1.0,336.0,2014-12-22 04:50:37.237231000
0.995,24.0,2014-12-22 17:13:42.344774000
1.0,116.0,2014-12-23 03:55:31.377126000
0.9396875,384.0,2014-12-23 16:18:36.471492000
1.0,474.0,2014-12-24 04:38:22.830320000
0.9641379310344828,174.0,2014-12-24 17:01:26.869421000
0.7963478260869565,230.0,2014-12-25 16:06:22.133517000
1.0,429.0,2014-12-26 04:26:07.761437000
0.9480794701986756,302.0,2014-12-26 16:49:11.667381000
1.0,144.0,2014-12-27 05:08:57.448169000
0.9897744360902255,133.0,2014-12-27 15:54:07.221750000
0.8805882352941177,272.0,2014-12-28 04:13:52.280756000
0.9736542669584245,457.0,2014-12-28 16:36:56.248633000
1.0,257.0,2014-12-29 04:56:42.451022000
1.0,156.0,2014-12-30 04:01:36.557529000
0.9876651982378855,454.0,2014-12-30 16:24:40.737759000
0.996135265700483,414.0,2014-12-31 04:44:26.867740000
0.9883582089552239,134.0,2014-12-31 17:07:30.599302000
0.9925333333333333,300.0,2015-01-01 16:12:26.535157000
1.0,480.0,2015-01-02 04:32:13.395348000
0.7470689655172414,232.0,2015-01-02 16:55:17.937082000
1.0,83.0,2015-01-03 05:15:02.105783000
0.94,26.0,2015-01-03 16:00:07.729358000
0.6881081081081081,148.0,2015-01-03 16:00:16.133097000
0.9778034682080924,346.0,2015-01-04 04:20:01.006679000
1.0,6.0,2015-01-04 04:20:09.869534000
0.886875,384.0,2015-01-04 16:43:05.770343000
1.0,193.0,2015-01-05 05:02:52.655925000
0.999047619047619,42.0,2015-01-05 15:48:03.269433000
1.0,208.0,2015-01-06 04:07:48.624192000
0.8944628099173554,484.0,2015-01-06 16:30:53.396933000
0.9897897897897897,333.0,2015-01-07 04:50:40.479316000
0.7090909090909091,22.0,2015-01-07 17:13:45.310268000
0.7866666666666667,120.0,2015-01-08 03:55:35.549888000
0.8510416666666667,384.0,2015-01-08 16:18:40.890134000
0.563728813559322,472.0,2015-01-09 04:38:27.728012000
1.0,172.0,2015-01-09 17:01:32.036580000
0.9986147186147185,231.0,2015-01-10 16:06:28.173694000
0.9927020785219399,433.0,2015-01-11 04:26:14.473208000
0.9803947368421052,304.0,2015-01-11 16:49:18.693499000
1.0,148.0,2015-01-12 05:09:05.268961000
0.8763909774436089,133.0,2015-01-12 15:54:15.339714000
1.0,274.0,2015-01-13 04:14:00.857780000
0.9344420131291028,457.0,2015-01-13 16:37:05.237745000
1.0,258.0,2015-01-14 04:56:51.950521000
1.0,158.0,2015-01-15 04:01:46.843565000
0.9935229759299782,457.0,2015-01-15 16:24:51.635230000
0.9971912832929781,413.0,2015-01-16 04:44:38.361468000
0.9609090909090909,132.0,2015-01-16 17:07:42.590101000
0.9960655737704919,305.0,2015-01-17 16:12:37.877956000
0.9965690376569037,478.0,2015-01-18 04:32:24.295348000
0.9516883116883118,231.0,2015-01-18 16:55:28.267121000
1.0,20.0,2015-01-19 05:15:07.212970000
1.0,175.0,2015-01-19 16:00:24.176321000
1.0,144.0,2015-01-20 04:20:05.041450000
1.0,211.0,2015-01-20 04:20:13.159747000
0.8741666666666668,384.0,2015-01-20 16:43:13.888546000
1.0,193.0,2015-01-21 05:03:00.306105000
0.9776,50.0,2015-01-21 15:48:10.450066000
1.0,209.0,2015-01-22 04:07:55.290919000
0.8928425357873211,489.0,2015-01-22 16:30:59.496308000
1.0,332.0,2015-01-23 04:50:46.166004000
1.0,18.0,2015-01-23 17:13:48.995561000
1.0,120.0,2015-01-24 03:55:40.366087000
0.9910880829015544,386.0,2015-01-24 16:18:45.063001000
1.0,472.0,2015-01-25 04:38:31.452092000
0.9430588235294118,170.0,2015-01-25 17:01:35.456883000
0.9332173913043478,230.0,2015-01-26 16:06:30.605392000
1.0,432.0,2015-01-27 04:26:16.447397000
0.9064900662251655,302.0,2015-01-27 16:49:20.240585000
1.0,151.0,2015-01-28 05:09:06.192797000
0.8694736842105263,133.0,2015-01-28 15:54:16.064559000
1.0,275.0,2015-01-29 04:14:01.158885000
0.5808771929824562,456.0,2015-01-29 16:37:05.130276000
1.0,254.0,2015-01-30 04:56:51.395982000
1.0,159.0,2015-01-31 04:01:45.687383000
0.9935824175824176,455.0,2015-01-31 16:24:49.909153000
1.0,412.0,2015-02-01 04:44:36.162108000
1.0,132.0,2015-02-01 17:07:40.147481000
0.999202657807309,301.0,2015-02-02 16:12:34.467080000
1.0,481.0,2015-02-03 04:32:20.371600000
0.6317241379310344,232.0,2015-02-03 16:55:23.846061000
1.0,49.0,2015-02-04 05:15:04.339474000
0.9666666666666667,174.0,2015-02-04 16:00:18.911258000
1.0,275.0,2015-02-05 04:20:02.799439000
1.0,79.0,2015-02-05 04:20:10.901588000
0.5973821989528796,382.0,2015-02-05 16:43:08.919988000
1.0,191.0,2015-02-06 05:02:55.363796000
0.9716666666666667,48.0,2015-02-06 15:48:05.663525000
1.0,210.0,2015-02-07 04:07:50.703067000
0.6782716049382717,486.0,2015-02-07 16:30:55.275782000
0.6493051359516616,331.0,2015-02-08 04:50:41.973941000
0.9852631578947368,19.0,2015-02-08 17:13:45.559285000
1.0,122.0,2015-02-09 03:55:36.480640000
0.9993766233766234,385.0,2015-02-09 16:18:41.355083000
1.0,474.0,2015-02-10 04:38:27.808989000
0.9637209302325581,172.0,2015-02-10 17:01:31.947519000
0.8914782608695653,230.0,2015-02-11 16:06:27.221026000
0.9987066974595842,433.0,2015-02-12 04:26:13.129727000
0.6953135313531353,303.0,2015-02-12 16:49:17.044798000
1.0,148.0,2015-02-13 05:09:03.248848000
